country_name,num_creatures_originated
Indonesia,3888
Ecuador,3399
Colombia,3332
Brazil,3249
Australia,2372
Mexico,1949
Peru,1873
"Costa Rica",1700
China,1608
Madagascar,1501
India,1366
"Bolivia (Plurinational State of)",1349
Philippines,1269
Malaysia,1246
"Papua New Guinea",1132
Panama,1061
"Venezuela (Bolivarian Republic of)",1052
"South Africa",861
Thailand,845
Guatemala,844
Argentina,750
"Viet Nam",719
Myanmar,707
"United States of America",697
Japan,612
"Democratic Republic of the Congo",561
Angola,535
Cameroon,534
"United Republic of Tanzania",521
Fiji,489
Bangladesh,480
Honduras,467
Belize,463
Cambodia,402
Guyana,402
Cuba,401
"El Salvador",390
"Lao People's Democratic Republic",387
Kenya,363
"American Samoa",347
"Solomon Islands",347
Nepal,316
Bhutan,305
Malawi,304
"French Guiana",301
"New Zealand",301
Paraguay,294
"Taiwan (Province of China)",292
"New Caledonia",289
Chile,283
Ethiopia,251
Bahamas,250
Burundi,249
"Dominican Republic",248
Mozambique,234
"Central African Republic",232
Zambia,220
"Sri Lanka",218
"Côte d'Ivoire",212
"Brunei Darussalam",209
Nicaragua,206
"British Indian Ocean Territory (the)",202
Congo,197
Réunion,186
Algeria,184
Vanuatu,178
Singapore,175
Benin,173
Suriname,173
Albania,169
Gabon,166
Canada,164
Afghanistan,159
Mauritius,159
Zimbabwe,159
Egypt,158
Jamaica,154
Botswana,150
Haiti,139
Barbados,135
Austria,134
Djibouti,131
Somalia,131
Uganda,130
Eswatini,129
"Hong Kong",122
Nigeria,114
"Cocos (Keeling) Islands (the)",113
"Burkina Faso",112
Uruguay,112
Comoros,111
"French Polynesia",111
Rwanda,110
"Equatorial Guinea",107
"Puerto Rico",107
France,106
"Cook Islands (the)",104
Guam,97
Kiribati,94
Italy,85
Samoa,84
Greece,83
"Russian Federation",82
Armenia,82
Lesotho,82
Ghana,81
Belgium,80
Bulgaria,80
Pakistan,77
Liberia,77
Yemen,77
Spain,76
"Cayman Islands (the)",73
"Trinidad and Tobago",70
Bermuda,68
"Iran (Islamic Republic of)",66
Portugal,66
"Saudi Arabia",64
Guinea,64
Chad,63
Turkey,61
"Antigua and Barbuda",60
Seychelles,60
Azerbaijan,59
Maldives,58
Dominica,56
Anguilla,53
Guadeloupe,52
Eritrea,49
"Cabo Verde",48
"Republic of Korea",47
Israel,46
"Micronesia (Federated States of)",46
"Korea (the Democratic People's Republic of)",44
Aruba,44
"Christmas Island",40
Grenada,40
Morocco,38
Cyprus,38
Antarctica,38
"Falkland Islands (the) [Malvinas]",36
Kazakhstan,35
"Sierra Leone",35
Palau,35
Sudan,35
"Bosnia and Herzegovina",34
Oman,29
"Sao Tome and Principe",29
Bahrain,28
Tonga,28
"Czech Republic",26
Germany,26
Mongolia,25
Jordan,24
"Saint Vincent and the Grenadines",24
Martinique,23
Croatia,22
"Marshall Islands (the)",22
Georgia,21
Iraq,21
Andorra,19
Senegal,19
"Norfolk Island",18
Kyrgyzstan,17
"South Sudan",16
Ireland,15
Timor-Leste,15
"Saint Lucia",14
Belarus,14
Gibraltar,13
Guinea-Bissau,12
Denmark,12
Mayotte,12
"Turks and Caicos Islands (the)",12
Tajikistan,11
"Faroe Islands (the)",11
Niue,11
Kuwait,11
Romania,11
Mali,10
Turkmenistan,10
Tunisia,10
"United Kingdom of Great Britain and Northern Ireland",10
Libya,9
Uzbekistan,9
Finland,9
"Northern Mariana Islands (the)",9
Gambia,9
Hungary,9
Greenland,8
"French Southern Territories (the)",8
Montserrat,8
"Saint Helena  Ascension and Tristan da Cunha",8
Lebanon,7
Togo,7
"South Georgia and the South Sandwich Islands",7
Ukraine,7
Netherlands,6
Tuvalu,6
Malta,6
Estonia,6
Norway,5
Iceland,5
Mauritania,5
"Bouvet Island",4
Pitcairn,4
Sweden,4
Switzerland,4
Poland,3
"Syrian Arab Republic",3
"Saint Kitts and Nevis",3
Serbia,3
"Saint Pierre and Miquelon",2
Niger,2
Qatar,2
Latvia,2
"Republic of Moldova",1
"Svalbard and Jan Mayen",1
"Palestine  State of",1
Montenegro,1
"United Arab Emirates",1
Liechtenstein,1
Slovakia,1
Lithuania,1
"Saint Barthélemy",1
